date,month,new_cases,new_deaths,Death Rate
2019-12-31,12,0.0,0.0,
2020-01-01,1,0.0,0.0,
2020-01-02,1,0.0,0.0,
2020-01-03,1,0.0,0.0,
2020-01-04,1,0.0,0.0,
2020-01-05,1,0.0,0.0,
2020-01-06,1,0.0,0.0,
2020-01-07,1,0.0,0.0,
2020-01-08,1,0.0,0.0,
2020-01-09,1,0.0,0.0,
2020-01-10,1,0.0,0.0,
2020-01-11,1,0.0,0.0,
2020-01-12,1,0.0,0.0,
2020-01-13,1,0.0,0.0,
2020-01-14,1,0.0,0.0,
2020-01-15,1,0.0,0.0,
2020-01-16,1,0.0,0.0,
2020-01-17,1,0.0,0.0,
2020-01-18,1,0.0,0.0,
2020-01-19,1,0.0,0.0,
2020-01-20,1,0.0,0.0,
2020-01-21,1,0.0,0.0,
2020-01-22,1,0.0,0.0,
2020-01-23,1,0.0,0.0,
2020-01-24,1,0.0,0.0,
2020-01-25,1,0.0,0.0,
2020-01-26,1,0.0,0.0,
2020-01-27,1,0.0,0.0,
2020-01-28,1,0.0,0.0,
2020-01-29,1,0.0,0.0,
2020-01-30,1,0.0,0.0,
2020-01-31,1,0.0,0.0,
2020-02-01,2,0.0,0.0,
2020-02-02,2,0.0,0.0,
2020-02-03,2,0.0,0.0,
2020-02-04,2,0.0,0.0,
2020-02-05,2,0.0,0.0,
2020-02-06,2,0.0,0.0,
2020-02-07,2,0.0,0.0,
2020-02-08,2,0.0,0.0,
2020-02-09,2,0.0,0.0,
2020-02-10,2,0.0,0.0,
2020-02-11,2,0.0,0.0,
2020-02-12,2,0.0,0.0,
2020-02-13,2,0.0,0.0,
2020-02-14,2,0.0,0.0,
2020-02-15,2,0.0,0.0,
2020-02-16,2,0.0,0.0,
2020-02-17,2,0.0,0.0,
2020-02-18,2,0.0,0.0,
2020-02-19,2,0.0,0.0,
2020-02-20,2,0.0,0.0,
2020-02-21,2,0.0,0.0,
2020-02-22,2,0.0,0.0,
2020-02-23,2,0.0,0.0,
2020-02-24,2,0.0,0.0,
2020-02-25,2,1.0,0.0,0.0
2020-02-26,2,0.0,0.0,0.0
2020-02-27,2,0.0,0.0,0.0
2020-02-28,2,0.0,0.0,0.0
2020-02-29,2,0.0,0.0,0.0
2020-03-01,3,0.0,0.0,0.0
2020-03-02,3,0.0,0.0,0.0
2020-03-03,3,,,
2020-03-04,3,,,
2020-03-05,3,,,
2020-03-06,3,,,
2020-03-07,3,,,
2020-03-08,3,3.0,0.0,0.0
2020-03-09,3,,,
2020-03-10,3,,,
2020-03-11,3,3.0,0.0,0.0
2020-03-12,3,,,
2020-03-13,3,,,
2020-03-14,3,,,
2020-03-15,3,3.0,0.0,0.0
2020-03-16,3,6.0,0.0,0.0
2020-03-17,3,5.0,0.0,0.0
2020-03-18,3,1.0,0.0,0.0
2020-03-19,3,0.0,0.0,0.0
2020-03-20,3,0.0,0.0,0.0
2020-03-21,3,2.0,0.0,0.0
2020-03-22,3,0.0,0.0,0.0
2020-03-23,3,10.0,0.0,0.0
2020-03-24,3,6.0,1.0,0.025
2020-03-25,3,2.0,0.0,0.023809523809523808
2020-03-26,3,33.0,0.0,0.013333333333333334
2020-03-27,3,0.0,0.0,0.013333333333333334
2020-03-28,3,16.0,1.0,0.02197802197802198
2020-03-29,3,15.0,1.0,0.02830188679245283
2020-03-30,3,8.0,1.0,0.03508771929824561
2020-03-31,3,27.0,0.0,0.028368794326241134
2020-04-01,4,25.0,0.0,0.024096385542168676
2020-04-02,4,26.0,0.0,0.020833333333333332
2020-04-03,4,43.0,0.0,0.01702127659574468
2020-04-04,4,0.0,0.0,0.01702127659574468
2020-04-05,4,35.0,1.0,0.018518518518518517
2020-04-06,4,29.0,2.0,0.023411371237458192
2020-04-07,4,38.0,0.0,0.020771513353115726
2020-04-08,4,30.0,4.0,0.02997275204359673
2020-04-09,4,56.0,3.0,0.03309692671394799
2020-04-10,4,61.0,1.0,0.030991735537190084
2020-04-11,4,37.0,0.0,0.028790786948176585
2020-04-12,4,34.0,3.0,0.032432432432432434
2020-04-13,4,52.0,0.0,0.029654036243822075
2020-04-14,4,58.0,3.0,0.031578947368421054
2020-04-15,4,49.0,2.0,0.03221288515406162
2020-04-16,4,70.0,2.0,0.03188775510204082
2020-04-17,4,10.0,4.0,0.036523929471032744
2020-04-18,4,51.0,1.0,0.03550295857988166
2020-04-19,4,63.0,0.0,0.03303964757709251
2020-04-20,4,88.0,3.0,0.03313253012048193
2020-04-21,4,35.0,2.0,0.03394762366634336
2020-04-22,4,61.0,1.0,0.03296703296703297
2020-04-23,4,84.0,4.0,0.034013605442176874
2020-04-24,4,105.0,2.0,0.03278688524590164
2020-04-25,4,70.0,1.0,0.03182827535159141
2020-04-26,4,112.0,4.0,0.03212576896787423
2020-04-27,4,68.0,10.0,0.037230568256041804
2020-04-28,4,172.0,0.0,0.03347034644744568
